${l_load_id}                    ,{loop_file_name}                ,C:/NYC_ETL_FILES/NYC_DEST_DIR/  , 00000000000000000000000000000016,C:/NYC_ETL_FILES/NYC_GPDIST_DIR/,C:/NYC_ETL_FILES/NYC_SOURCE_DIR/
${l_load_id}                    ,{loop_file_name}                ,C:/NYC_ETL_FILES/NYC_DEST_DIR/  , 00000000000000000000000000000016,C:/NYC_ETL_FILES/NYC_GPDIST_DIR/,C:/NYC_ETL_FILES/NYC_SOURCE_DIR/
${l_load_id}                    ,{loop_file_name}                ,C:/NYC_ETL_FILES/NYC_DEST_DIR/  , 00000000000000000000000000000016,C:/NYC_ETL_FILES/NYC_GPDIST_DIR/,C:/NYC_ETL_FILES/NYC_SOURCE_DIR/
${l_load_id}                    ,{loop_file_name}                ,C:/NYC_ETL_FILES/NYC_DEST_DIR/  , 00000000000000000000000000000016,C:/NYC_ETL_FILES/NYC_GPDIST_DIR/,C:/NYC_ETL_FILES/NYC_SOURCE_DIR/
${l_load_id}                    ,{loop_file_name}                ,C:/NYC_ETL_FILES/NYC_DEST_DIR/  , 00000000000000000000000000000016,C:/NYC_ETL_FILES/NYC_GPDIST_DIR/,C:/NYC_ETL_FILES/NYC_SOURCE_DIR/
176                             ,{loop_file_name}                ,C:/NYC_ETL_FILES/NYC_DEST_DIR/  , 00000000000000000000000000000016,C:/NYC_ETL_FILES/NYC_GPDIST_DIR/,C:/NYC_ETL_FILES/NYC_SOURCE_DIR/
182                             ,{loop_file_name}                ,C:/NYC_ETL_FILES/NYC_DEST_DIR/  , 00000000000000000000000000000016,C:/NYC_ETL_FILES/NYC_GPDIST_DIR/,C:/NYC_ETL_FILES/NYC_SOURCE_DIR/
179                             ,{loop_file_name}                ,C:/NYC_ETL_FILES/NYC_DEST_DIR/  , 00000000000000000000000000000016,C:/NYC_ETL_FILES/NYC_GPDIST_DIR/,C:/NYC_ETL_FILES/NYC_SOURCE_DIR/
180                             ,{loop_file_name}                ,C:/NYC_ETL_FILES/NYC_DEST_DIR/  , 00000000000000000000000000000016,C:/NYC_ETL_FILES/NYC_GPDIST_DIR/,C:/NYC_ETL_FILES/NYC_SOURCE_DIR/
181                             ,{loop_file_name}                ,C:/NYC_ETL_FILES/NYC_DEST_DIR/  , 00000000000000000000000000000016,C:/NYC_ETL_FILES/NYC_GPDIST_DIR/,C:/NYC_ETL_FILES/NYC_SOURCE_DIR/
176                             ,AID1_DLY_COA_DEPT_20110507013651,C:/NYC_ETL_FILES/NYC_DEST_DIR/  , 00000000000000000000000000000016,C:/NYC_ETL_FILES/NYC_GPDIST_DIR/,C:/NYC_ETL_FILES/NYC_SOURCE_DIR/
182                             ,AID4_DLY_COA_LOC_20110507013650_,C:/NYC_ETL_FILES/NYC_DEST_DIR/  , 00000000000000000000000000000016,C:/NYC_ETL_FILES/NYC_GPDIST_DIR/,C:/NYC_ETL_FILES/NYC_SOURCE_DIR/
179                             ,AID2_DLY_COA_APPR_20110507013651,C:/NYC_ETL_FILES/NYC_DEST_DIR/  , 00000000000000000000000000000016,C:/NYC_ETL_FILES/NYC_GPDIST_DIR/,C:/NYC_ETL_FILES/NYC_SOURCE_DIR/
180                             ,AID3_DLY_COA_OBJ_20110507013650_,C:/NYC_ETL_FILES/NYC_DEST_DIR/  , 00000000000000000000000000000016,C:/NYC_ETL_FILES/NYC_GPDIST_DIR/,C:/NYC_ETL_FILES/NYC_SOURCE_DIR/
181                             ,AIDM_DLY_MMDSB_AD_20110507013651,C:/NYC_ETL_FILES/NYC_DEST_DIR/  , 00000000000000000000000000000016,C:/NYC_ETL_FILES/NYC_GPDIST_DIR/,C:/NYC_ETL_FILES/NYC_SOURCE_DIR/
