data_source_name,file_name,consume_flag,pattern_matched_flag,processed_flag
COALocation,AIE9_DLY_COA_LOC_20120703152429.txt,Y,Y,Y
COAObjectClass,AIEA_DLY_COA_OCLS_20120703152456.txt,Y,Y,Y
COAAgency,AIEE_DLY_COA_DEPT_20120703152247.txt,Y,Y,Y
COARevenueClass,AIEC_DLY_COA_RSCLS_20120703152446.txt,Y,Y,Y
FundingClass,AIEC_DLY_COA_RSFCLS_20120703152446.txt,Y,Y,Y
COAExpenditureObject,AIE8_DLY_COA_OBJ_20120703152415.txt,Y,Y,Y
COARevenueSource,AIEB_DLY_COA_RSRC_20120703152407.txt,Y,Y,Y
COABudgetCode,AIED_DLY_COA_FUNCATTR_20120703152247.txt,Y,Y,Y
COARevenueCategory,AIEC_DLY_COA_RSCAT_20120703152446.txt,Y,Y,Y
COADepartment,AIE7_DLY_COA_APPR_20120703152301.txt,Y,Y,Y
